0.008832,0.000696,0.779582,-0.008241,0.036538,0.018276,0.999131,-0.191897,0.000549,0.040484,0.262125,-0.144681,-0.019592,-0.168660,-0.070524,-0.089415,0.249529,-0.146146,0.034898,-0.002182,0.000000,0.000000,0.378120,0.226620,-0.233306,0.699935,0.123098,0.000083,-0.000051,0.289219,-0.197260,0.174568,0.786068,-0.204999,0.000080,0.000056
0.008840,0.000693,0.779582,-0.006533,0.039003,0.022072,0.998974,-0.196255,-0.004172,0.038410,0.259488,-0.142068,-0.021295,-0.170193,-0.080815,-0.104651,0.243840,-0.142586,0.040254,-0.009849,0.000000,0.000000,0.378169,0.226675,-0.233096,0.700266,0.123131,0.000083,-0.000051,0.289517,-0.197479,0.174460,0.786400,-0.205110,0.000080,0.000056
0.008863,0.000686,0.779580,-0.005337,0.040521,0.024789,0.998857,-0.199223,-0.008557,0.034218,0.259341,-0.141676,-0.021143,-0.172290,-0.085534,-0.110035,0.243048,-0.141929,0.041115,-0.015540,0.000000,0.000000,0.378215,0.226653,-0.232861,0.700662,0.123178,0.000083,-0.000051,0.289782,-0.197702,0.174448,0.786709,-0.205364,0.000080,0.000056
0.008888,0.000679,0.779579,-0.004503,0.041567,0.026697,0.998769,-0.201342,-0.011726,0.031054,0.259488,-0.141651,-0.020896,-0.173934,-0.088651,-0.113360,0.242963,-0.141845,0.041412,-0.019559,0.000000,0.000000,0.378246,0.226597,-0.232550,0.701075,0.123283,0.000083,-0.000051,0.290008,-0.197887,0.174433,0.786982,-0.205654,0.000080,0.000056
0.008908,0.000671,0.779579,-0.003923,0.042293,0.028011,0.998705,-0.202823,-0.013932,0.028856,0.259634,-0.141669,-0.020712,-0.175105,-0.090796,-0.115610,0.242976,-0.141851,0.041592,-0.022395,0.000000,0.000000,0.378282,0.226486,-0.232143,0.701477,0.123415,0.000083,-0.000051,0.290185,-0.197984,0.174368,0.787210,-0.205875,0.000080,0.000056
0.008921,0.000664,0.779579,-0.003517,0.042799,0.028908,0.998659,-0.203857,-0.015457,0.027357,0.259746,-0.141669,-0.020598,-0.175931,-0.092278,-0.117139,0.242997,-0.141840,0.041712,-0.024409,0.000000,0.000000,0.378320,0.226282,-0.231678,0.701856,0.123524,0.000083,-0.000051,0.290305,-0.197986,0.174206,0.787363,-0.206002,0.000080,0.000056
0.008927,0.000659,0.779579,-0.003247,0.043140,0.029498,0.998628,-0.204558,-0.016468,0.026374,0.259819,-0.141652,-0.020532,-0.176493,-0.093262,-0.118146,0.243008,-0.141827,0.041774,-0.025787,0.000000,0.000000,0.378344,0.225996,-0.231181,0.702202,0.123671,0.000083,-0.000051,0.290377,-0.197891,0.173973,0.787432,-0.206057,0.000080,0.000056
0.008926,0.000655,0.779579,-0.003055,0.043383,0.029918,0.998606,-0.205061,-0.017185,0.025687,0.259862,-0.141629,-0.020480,-0.176897,-0.093959,-0.118861,0.243010,-0.141812,0.041814,-0.026784,0.000000,0.000000,0.378335,0.225663,-0.230700,0.702524,0.123868,0.000083,-0.000051,0.290430,-0.197746,0.173704,0.787446,-0.206063,0.000080,0.000056
0.008926,0.000649,0.779580,-0.002911,0.043544,0.030197,0.998591,-0.205397,-0.017690,0.025237,0.259896,-0.141589,-0.020455,-0.177170,-0.094452,-0.119332,0.243016,-0.141799,0.041821,-0.027527,0.000000,0.000000,0.378316,0.225265,-0.230226,0.702874,0.124088,0.000083,-0.000051,0.290447,-0.197544,0.173488,0.787419,-0.206065,0.000080,0.000056
0.008924,0.000642,0.779581,-0.002799,0.043649,0.030381,0.998581,-0.205619,-0.018052,0.024947,0.259919,-0.141539,-0.020453,-0.177352,-0.094807,-0.119643,0.243021,-0.141797,0.041801,-0.028093,0.000000,0.000000,0.378297,0.224774,-0.229696,0.703254,0.124293,0.000083,-0.000051,0.290431,-0.197380,0.173391,0.787394,-0.206154,0.000080,0.000056
